Station (alphabetical by borough)	2013	2014	2015	2016	2017	2018	2017-2018 Change	2017-2018 Change	2018 Rank	LINE
Lorimer St /Metropolitan Av 	"14,004"	"14,573"	"15,131"	"15,082"	"14,752"	"14,299"	-453	-3.10%	108	L-G
Marcy Av   	"11,775"	"12,547"	"13,276"	"13,815"	"13,377"	"13,315"	-62	-0.50%	113	J-M-Z
Montrose Av 	"6,731"	"6,961"	"7,025"	"7,007"	"7,021"	"6,884"	-137	-2.00%	225	L
Morgan Av 	"7,126"	"7,298"	"7,221"	"7,592"	"7,769"	"7,510"	-259	-3.30%	202	L
Myrtle Av   	"10,876"	"11,048"	"11,424"	"11,801"	"13,222"	"12,122"	"-1,100"	-8.30%	127	J-M-Z
Myrtle-Willoughby    Avs 	"4,916"	"5,330"	"5,783"	"5,889"	"5,743"	"5,736"	-7	-0.10%	263	G
Myrtle-Wyckoff    Avs  	"18,167"	"19,203"	"19,490"	"19,673"	"22,434"	"21,241"	"-1,193"	-5.30%	63	L-M
Nassau Av 	"8,435"	"8,765"	"9,066"	"9,150"	"9,105"	"9,312"	207	2.30%	168	G
Neck Rd 	"3,941"	"4,033"	"4,207"	"4,354"	"4,441"	"4,405"	-36	-0.80%	315	Q
Neptune Av *	"1,749"	"1,698"	"1,807"	"1,742"	"1,658"	"1,516"	-142	-8.60%	410	F
Nevins St    	"11,468"	"11,752"	"10,896"	"10,716"	"10,699"	"10,426"	-273	-2.60%	151	2-3-4-5
New Lots Av 	"6,349"	"6,626"	"7,133"	"6,855"	"6,087"	"5,573"	-514	-8.40%	268	3
New Lots Av 	"4,785"	"5,005"	"5,244"	"5,431"	"5,290"	"4,869"	-421	-8.00%	290	L
New Utrecht    Av /62 St *	"5,159"	"5,270"	"5,551"	"5,602"	"5,217"	"4,673"	-544	-10.40%	302	N-D
Newkirk Av  	"7,757"	"8,015"	"8,035"	"7,840"	"7,600"	"7,312"	-288	-3.80%	204	5-Feb
Newkirk Plaza  	"10,788"	"10,707"	"10,864"	"10,842"	"10,728"	"10,534"	-194	-1.80%	149	B-Q
Norwood Av  	"3,492"	"3,603"	"3,639"	"3,613"	"3,437"	"3,190"	-247	-7.20%	360	J-Z
Nostrand Av 	"4,151"	"4,268"	"4,306"	"4,239"	"4,066"	"3,907"	-159	-3.90%	327	3
Nostrand Av  	"16,843"	"17,062"	"17,790"	"18,231"	"18,035"	"17,437"	-598	-3.30%	79	A-C
Ocean Pkwy *	"3,141"	"3,124"	"3,203"	"3,211"	"3,251"	"3,199"	-52	-1.60%	358	Q
Park Pl 	"2,077"	"1,968"	"1,922"	"1,850"	"1,818"	"1,725"	-93	-5.10%	406	S
Parksde Av *	"4,240"	"4,969"	"5,266"	"5,524"	"5,898"	"6,050"	152	2.60%	251	Q
Pennylvania    Av *	"5,675"	"5,718"	"6,997"	"2,485"	"3,503"	"4,331"	828	23.60%	316	3
President St  	"3,969"	"4,092"	"4,120"	"4,114"	"4,113"	"4,019"	-94	-2.30%	323	5-Feb
Prospect Av *	"5,934"	"5,943"	"5,896"	"5,842"	"3,199"	"5,523"	"2,324"	72.60%	269	R
Prospect Park   	"9,761"	"9,715"	"10,033"	"9,995"	"10,234"	"10,059"	-175	-1.70%	159	B-Q-S
Ralph Av 	"5,381"	"5,570"	"5,796"	"5,801"	"5,936"	"5,768"	-168	-2.80%	261	C
Rockaway Av *	"5,632"	"5,735"	"1,690"	"5,122"	"5,642"	"4,747"	-895	-15.90%	297	3
Rockaway Av 	"5,137"	"5,223"	"5,443"	"5,678"	"5,715"	"5,667"	-48	-0.80%	265	C
Saratoga Av  *	"5,807"	"5,933"	"8,148"	"4,006"	"5,777"	"5,246"	-531	-9.20%	280	3
Sheepshead    Bay  	"14,010"	"14,118"	"14,304"	"14,477"	"14,311"	"13,946"	-365	-2.60%	109	B-Q
Shepherd Av 	"3,149"	"3,263"	"3,370"	"3,393"	"3,337"	"3,182"	-155	-4.60%	361	C
Smith-9 Sts  *	"2,854"	"4,762"	"5,084"	"4,861"	"4,714"	"4,689"	-25	-0.50%	300	F-G
Sterling St   	"5,915"	"5,783"	"5,802"	"5,806"	"5,795"	"5,684"	-111	-1.90%	264	5-Feb
Sutter Av 	"4,555"	"4,675"	"4,727"	"4,688"	"4,471"	"4,029"	-442	-9.90%	322	L
Sutter    Av-Rutland Rd *	"7,831"	"8,084"	"8,031"	"6,785"	"3,449"	"6,657"	"3,208"	93.00%	231	3
Union St 	"6,528"	"6,415"	"6,599"	"6,512"	"6,395"	"6,835"	440	6.90%	227	R
Utica Av   	"14,673"	"15,117"	"15,674"	"16,060"	"16,408"	"16,121"	-287	-1.70%	85	A-C
Van Siclen Av *	"3,431"	"3,438"	989	"4,194"	"3,660"	"2,904"	-756	-20.70%	371	3
Van Siclen Av 	"2,974"	"3,050"	"3,202"	"3,224"	"3,259"	"3,021"	-238	-7.30%	368	C
Van Siclen Av   	"2,883"	"2,940"	"3,004"	"3,067"	"2,900"	"2,678"	-222	-7.70%	376	J-Z
West 8 St-New    York Aquarium  *	"2,069"	"2,262"	"2,397"	"2,421"	"2,404"	"2,469"	65	2.70%	383	F-Q
Wilson Av *	"3,865"	"4,248"	"4,437"	"3,812"	"4,564"	"4,468"	-96	-2.10%	311	L
Winthrop St  	"7,639"	"7,720"	"7,541"	"7,272"	"7,317"	"7,262"	-55	-0.80%	205	5-Feb
York St 	"8,629"	"8,973"	"9,328"	"10,246"	"10,373"	"11,032"	659	6.40%	140	F
1 Av  	"23,467"	"24,286"	"23,789"	"23,195"	"21,823"	"20,998"	-825	-3.80%	65	L
103 St 	"13,500"	"13,318"	"13,309"	"13,246"	"12,818"	"12,569"	-249	-1.90%	122	1
103 St *	"16,189"	"16,641"	"13,057"	"13,994"	"14,337"	"13,285"	"-1,052"	-7.30%	114	6
103 St  	"4,760"	"4,832"	"4,800"	"4,776"	"4,674"	"5,444"	770	16.50%	272	B-C
110 St 	"12,162"	"12,452"	"13,409"	"13,341"	"11,932"	"10,851"	"-1,081"	-9.10%	142	6
